#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1280 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:47.42 aq:45.80 tex:25869 mv:10242 misc:3097 imb:1220 pmb:488 smb:1892 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:48.13 aq:49.54 tex:2568 mv:3644 misc:2036 imb:71 pmb:415 smb:3114 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:48.49 aq:50.24 tex:1542 mv:2220 misc:1510 imb:35 pmb:273 smb:3292 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:47.77 aq:50.28 tex:1089 mv:1456 misc:1127 imb:18 pmb:180 smb:3402 d:- ref:0 ;
in:39 out:37 type:P dur:2 cpbdur:2 q:46.29 aq:45.76 tex:19226 mv:9225 misc:3221 imb:932 pmb:545 smb:2123 d:- ref:0 ;
in:37 out:38 type:B dur:2 cpbdur:2 q:47.04 aq:49.13 tex:1128 mv:1400 misc:1152 imb:20 pmb:184 smb:3396 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:46.67 aq:48.58 tex:2041 mv:2704 misc:1559 imb:53 pmb:265 smb:3282 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:45.32 aq:44.95 tex:34782 mv:12936 misc:2602 imb:1915 pmb:478 smb:1207 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:45.81 aq:47.04 tex:8827 mv:9423 misc:2894 imb:299 pmb:782 smb:2519 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:46.05 aq:46.98 tex:3886 mv:5127 misc:2195 imb:117 pmb:483 smb:3000 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:45.56 aq:47.39 tex:5812 mv:5788 misc:2256 imb:165 pmb:600 smb:2835 d:- ref:0 ;
in:45 out:44 type:P dur:2 cpbdur:2 q:44.47 aq:44.23 tex:45302 mv:14268 misc:2814 imb:1574 pmb:757 smb:1269 d:- ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:44.90 aq:46.96 tex:8315 mv:8281 misc:2668 imb:191 pmb:800 smb:2609 d:- ref:0 ;
in:47 out:46 type:P dur:2 cpbdur:2 q:44.36 aq:43.24 tex:50897 mv:15797 misc:2794 imb:1612 pmb:801 smb:1187 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:44.42 aq:46.29 tex:6707 mv:8370 misc:2587 imb:166 pmb:690 smb:2744 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:43.92 aq:42.77 tex:73447 mv:17765 misc:2012 imb:2157 pmb:689 smb:754 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:44.14 aq:45.10 tex:17753 mv:14665 misc:3134 imb:568 pmb:967 smb:2065 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:44.25 aq:46.12 tex:4837 mv:7564 misc:2687 imb:107 pmb:746 smb:2747 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:44.03 aq:45.95 tex:12541 mv:11070 misc:2773 imb:345 pmb:801 smb:2454 d:- ref:0 ;
in:53 out:52 type:P dur:2 cpbdur:2 q:43.61 aq:42.46 tex:41398 mv:15004 misc:2830 imb:1464 pmb:781 smb:1355 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:43.76 aq:45.33 tex:4286 mv:7578 misc:2608 imb:88 pmb:724 smb:2788 d:- ref:0 ;
in:57 out:54 type:P dur:2 cpbdur:2 q:43.38 aq:42.77 tex:50682 mv:15688 misc:2518 imb:1783 pmb:696 smb:1121 d:- ref:0 ;
in:55 out:55 type:B dur:2 cpbdur:2 q:43.49 aq:44.41 tex:17053 mv:12914 misc:3041 imb:392 pmb:1007 smb:2201 d:- ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:43.55 aq:45.80 tex:10006 mv:9955 misc:2855 imb:184 pmb:896 smb:2520 d:- ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:43.44 aq:45.82 tex:6714 mv:7664 misc:2558 imb:109 pmb:756 smb:2735 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:43.50 aq:42.17 tex:60898 mv:16852 misc:2034 imb:2013 pmb:708 smb:879 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:43.44 aq:44.18 tex:32505 mv:14881 misc:2814 imb:614 pmb:1151 smb:1835 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:43.41 aq:45.06 tex:12564 mv:11107 misc:2761 imb:364 pmb:878 smb:2358 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:43.47 aq:45.45 tex:15759 mv:9728 misc:2681 imb:243 pmb:908 smb:2449 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:43.56 aq:42.68 tex:39234 mv:14893 misc:2433 imb:1701 pmb:576 smb:1323 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:43.53 aq:43.45 tex:26802 mv:14349 misc:3009 imb:527 pmb:1113 smb:1960 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:43.52 aq:44.48 tex:6144 mv:8588 misc:2420 imb:158 pmb:734 smb:2708 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:43.55 aq:44.85 tex:9837 mv:9837 misc:2798 imb:243 pmb:813 smb:2544 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:43.49 aq:42.89 tex:27293 mv:12587 misc:3224 imb:874 pmb:748 smb:1978 d:- ref:0 ;
in:70 out:67 type:P dur:2 cpbdur:2 q:43.49 aq:42.32 tex:49883 mv:18297 misc:2052 imb:2188 pmb:630 smb:782 d:- ref:0 ;
in:68 out:68 type:B dur:2 cpbdur:2 q:43.49 aq:43.65 tex:18083 mv:15843 misc:3322 imb:567 pmb:1154 smb:1879 d:- ref:0 ;
in:67 out:69 type:b dur:2 cpbdur:2 q:43.49 aq:44.08 tex:14278 mv:14984 misc:3250 imb:485 pmb:1066 smb:2049 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:43.49 aq:45.25 tex:6291 mv:7690 misc:2843 imb:96 pmb:889 smb:2615 d:- ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:43.51 aq:43.82 tex:25746 mv:11485 misc:2553 imb:1283 pmb:484 smb:1833 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:43.50 aq:44.75 tex:10607 mv:11258 misc:2719 imb:327 pmb:854 smb:2419 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:43.39 aq:42.83 tex:31302 mv:13659 misc:2527 imb:1730 pmb:436 smb:1434 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:43.47 aq:42.81 tex:30934 mv:13348 misc:2414 imb:1837 pmb:391 smb:1372 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:43.55 aq:42.98 tex:44278 mv:14874 misc:2064 imb:2437 pmb:313 smb:850 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:43.52 aq:41.70 tex:38965 mv:15084 misc:1455 imb:2836 pmb:274 smb:490 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:43.47 aq:42.01 tex:26055 mv:12644 misc:2821 imb:1580 pmb:475 smb:1545 d:- ref:0 ;
in:78 out:78 type:I dur:2 cpbdur:2 q:41.12 aq:38.16 tex:134094 mv:43051 misc:535 imb:3600 pmb:0 smb:0 d:- ref:;
in:82 out:79 type:P dur:2 cpbdur:2 q:43.90 aq:41.24 tex:22091 mv:11505 misc:2596 imb:1253 pmb:578 smb:1769 d:- ref:0 ;
in:80 out:80 type:B dur:2 cpbdur:2 q:43.90 aq:43.82 tex:9713 mv:9682 misc:2725 imb:328 pmb:730 smb:2542 d:- ref:0 ;
in:79 out:81 type:b dur:2 cpbdur:2 q:43.90 aq:44.03 tex:5264 mv:8121 misc:2303 imb:235 pmb:575 smb:2790 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:43.90 aq:45.18 tex:3869 mv:5072 misc:1811 imb:102 pmb:451 smb:3047 d:- ref:0 ;
in:86 out:83 type:P dur:2 cpbdur:2 q:43.66 aq:43.00 tex:15559 mv:10453 misc:2708 imb:842 pmb:529 smb:2229 d:- ref:0 ;
in:84 out:84 type:B dur:2 cpbdur:2 q:43.78 aq:42.69 tex:8981 mv:9696 misc:3059 imb:178 pmb:916 smb:2506 d:- ref:0 ;
in:83 out:85 type:b dur:2 cpbdur:2 q:43.84 aq:44.40 tex:2432 mv:4164 misc:1828 imb:68 pmb:424 smb:3108 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:43.72 aq:45.39 tex:1185 mv:3517 misc:1850 imb:31 pmb:413 smb:3156 d:- ref:0 ;
in:88 out:87 type:P dur:2 cpbdur:2 q:43.63 aq:41.25 tex:43012 mv:13486 misc:1494 imb:2573 pmb:281 smb:746 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:43.65 aq:44.04 tex:16657 mv:12799 misc:2768 imb:584 pmb:778 smb:2238 d:- ref:0 ;
